keyid,y_i,d_i
1,0,66.28630705
2,5,250.4149378
3,0,44.19087137
4,0,103.1120332
5,9,368.2572614
6,0,1598.236515
7,0,14.73029046
8,0,29.46058091
9,5,88.38174274
10,3,382.9875519
11,6,228.3195021
12,0,390.3526971
13,0,110.4771784
14,2,110.4771784
15,2,294.6058091
16,0,117.8423237
17,4,390.3526971
18,0,228.3195021
19,0,58.92116183
20,0,73.65145228
21,0,103.1120332
22,0,309.3360996
23,0,22.09543568
24,0,125.2074689
25,3,147.3029046
26,0,162.033195
27,50,22.09543568
28,0,95.74688797
29,0,51.5560166
30,0,22.09543568
31,3,272.5103734
32,0,44.19087137
33,0,176.7634855
34,1,44.19087137
35,0,390.3526971
36,0,51.5560166
37,0,301.9709544
38,3,287.2406639
39,0,265.1452282
40,0,243.0497925
41,4,272.5103734
42,4,464.0041494
43,0,103.1120332
44,0,66.28630705
45,0,81.01659751
46,0,184.1286307
47,1,44.19087137
48,0,125.2074689
49,3,66.28630705
50,25,88.38174274
51,0,117.8423237
52,0,316.7012448
53,0,103.1120332
54,0,81.01659751
55,0,58.92116183
56,0,81.01659751
57,10,243.0497925
58,5,1244.709544
59,0,51.5560166
60,0,29.46058091
61,0,44.19087137
62,0,110.4771784
63,0,139.9377593
64,0,7.365145228
65,0,611.3070539
66,2,139.9377593
67,5,228.3195021
68,0,191.4937759
69,4,198.8589212
70,0,250.4149378
71,1,58.92116183
72,0,51.5560166
73,1,272.5103734
74,0,95.74688797
75,2,169.3983402
76,0,198.8589212
77,0,66.28630705
78,2,434.5435685
79,0,95.74688797
80,0,117.8423237
81,0,316.7012448
82,0,73.65145228
83,0,117.8423237
84,0,324.06639
85,1,139.9377593
86,0,58.92116183
87,1,250.4149378
88,0,110.4771784
89,0,198.8589212
90,0,213.5892116
91,0,29.46058091
92,1,228.3195021
93,0,22.09543568
94,0,206.2240664
95,0,736.5145228
96,0,14.73029046
97,0,294.6058091
98,0,95.74688797
99,0,220.9543568
100,0,471.3692946
101,0,243.0497925
102,0,147.3029046
103,0,29.46058091
104,9,169.3983402
105,0,66.28630705
106,0,132.5726141
107,2,81.01659751
108,0,29.46058091
109,10,287.2406639
110,0,22.09543568
111,1,66.28630705
112,0,51.5560166
113,0,44.19087137
114,0,44.19087137
115,20,243.0497925
116,0,66.28630705
117,0,14.73029046
118,0,243.0497925
119,0,103.1120332
120,0,139.9377593
121,0,88.38174274
122,0,22.09543568
123,1,110.4771784
124,0,95.74688797
125,0,73.65145228
126,0,486.0995851
127,5,427.1784232
128,0,51.5560166
129,100,58.92116183
130,0,95.74688797
131,0,103.1120332
132,0,22.09543568
133,0,51.5560166
134,0,294.6058091
135,2,162.033195
136,0,51.5560166
137,0,294.6058091
138,0,206.2240664
139,0,66.28630705
140,2,316.7012448
141,2,139.9377593
142,12,73.65145228
143,0,66.28630705
144,0,95.74688797
145,5,677.593361
146,0,51.5560166
147,0,125.2074689
148,35,58.92116183
149,0,125.2074689
150,0,29.46058091
151,0,353.526971
152,0,88.38174274
153,2,184.1286307
154,0,22.09543568
155,0,162.033195
156,2,139.9377593
157,0,103.1120332
158,0,66.28630705
159,1,147.3029046
160,0,88.38174274
161,2,213.5892116
162,0,29.46058091
163,0,66.28630705
164,2,125.2074689
165,1,51.5560166
166,0,220.9543568
167,0,191.4937759
168,0,51.5560166
169,1,228.3195021
170,0,88.38174274
171,0,198.8589212
172,0,184.1286307
173,1,250.4149378
174,0,95.74688797
175,20,110.4771784
176,0,419.813278
177,3,95.74688797
178,0,14.73029046
179,0,88.38174274
180,0,139.9377593
181,0,110.4771784
182,2,213.5892116
183,0,66.28630705
184,0,257.780083
185,0,22.09543568
186,0,73.65145228
187,0,206.2240664
188,0,81.01659751
189,0,220.9543568
190,0,110.4771784
191,0,44.19087137
192,10,73.65145228
193,0,390.3526971
194,0,58.92116183
195,2,412.4481328
196,1,103.1120332
197,0,220.9543568
198,0,574.4813278
199,5,331.4315353
200,0,7.365145228
201,0,198.8589212
202,2,51.5560166
203,0,44.19087137
204,50,257.780083
205,0,22.09543568
206,2,110.4771784
207,1,66.28630705
208,5,103.1120332
209,1,0
210,0,73.65145228
211,0,220.9543568
212,0,66.28630705
213,0,110.4771784
214,0,360.8921162
215,0,95.74688797
216,3,213.5892116
217,3,574.4813278
218,0,51.5560166
219,1,88.38174274
220,10,139.9377593
221,0,154.6680498
222,8,51.5560166
223,2,198.8589212
224,0,22.09543568
225,0,449.2738589
226,0,73.65145228
227,1,390.3526971
228,1,250.4149378
229,6,397.7178423
230,0,360.8921162
231,0,44.19087137
232,4,405.0829876
233,1,81.01659751
234,1,36.82572614
235,4,162.033195
236,0,44.19087137
237,1,132.5726141
238,0,154.6680498
239,0,110.4771784
240,0,154.6680498
241,0,139.9377593
242,0,95.74688797
243,4,81.01659751
244,1,154.6680498
245,10,486.0995851
246,8,73.65145228
247,0,58.92116183
248,0,29.46058091
249,2,162.033195
250,0,294.6058091
251,4,449.2738589
252,0,162.033195
253,0,73.65145228
254,0,22.09543568
255,0,44.19087137
256,0,88.38174274
257,75,88.38174274
258,3,117.8423237
259,1,110.4771784
260,0,51.5560166
261,0,191.4937759
262,1,220.9543568
263,0,228.3195021
264,1,110.4771784
265,0,206.2240664
266,3,272.5103734
267,0,110.4771784
268,0,103.1120332
269,0,346.1618257
270,0,139.9377593
271,0,22.09543568
272,10,213.5892116
273,2,191.4937759
274,0,250.4149378
275,0,139.9377593
276,0,66.28630705
277,3,419.813278
278,0,125.2074689
279,0,95.74688797