population,network_size
general,66.28630705
general,250.4149378
general,44.19087137
general,103.1120332
general,368.2572614
general,1598.236515
general,14.73029046
general,29.46058091
general,88.38174274
general,382.9875519
general,228.3195021
general,390.3526971
general,110.4771784
general,110.4771784
general,294.6058091
general,117.8423237
general,390.3526971
general,228.3195021
general,58.92116183
general,73.65145228
general,103.1120332
general,309.3360996
general,22.09543568
general,125.2074689
general,147.3029046
general,162.033195
general,22.09543568
general,95.74688797
general,51.5560166
general,22.09543568
general,272.5103734
general,44.19087137
general,176.7634855
general,44.19087137
general,390.3526971
general,51.5560166
general,301.9709544
general,287.2406639
general,265.1452282
general,243.0497925
general,272.5103734
general,464.0041494
general,103.1120332
general,66.28630705
general,81.01659751
general,184.1286307
general,44.19087137
general,125.2074689
general,66.28630705
general,88.38174274
general,117.8423237
general,316.7012448
general,103.1120332
general,81.01659751
general,58.92116183
general,81.01659751
general,243.0497925
general,1244.709544
general,51.5560166
general,29.46058091
general,44.19087137
general,110.4771784
general,139.9377593
general,7.365145228
general,611.3070539
general,139.9377593
general,228.3195021
general,191.4937759
general,198.8589212
general,250.4149378
general,58.92116183
general,51.5560166
general,272.5103734
general,95.74688797
general,169.3983402
general,198.8589212
general,66.28630705
general,434.5435685
general,95.74688797
general,117.8423237
general,316.7012448
general,73.65145228
general,117.8423237
general,324.06639
general,139.9377593
general,58.92116183
general,250.4149378
general,110.4771784
general,198.8589212
general,213.5892116
general,29.46058091
general,228.3195021
general,22.09543568
general,206.2240664
general,736.5145228
general,14.73029046
general,294.6058091
general,95.74688797
general,220.9543568
general,471.3692946
general,243.0497925
general,147.3029046
general,29.46058091
general,169.3983402
general,66.28630705
general,132.5726141
general,81.01659751
general,29.46058091
general,287.2406639
general,22.09543568
general,66.28630705
general,51.5560166
general,44.19087137
general,44.19087137
general,243.0497925
general,66.28630705
general,14.73029046
general,243.0497925
general,103.1120332
general,139.9377593
general,88.38174274
general,22.09543568
general,110.4771784
general,95.74688797
general,73.65145228
general,486.0995851
general,427.1784232
general,51.5560166
general,58.92116183
general,95.74688797
general,103.1120332
general,22.09543568
general,51.5560166
general,294.6058091
general,162.033195
general,51.5560166
general,294.6058091
general,206.2240664
general,66.28630705
general,316.7012448
general,139.9377593
general,73.65145228
general,66.28630705
general,95.74688797
general,677.593361
general,51.5560166
general,125.2074689
general,58.92116183
general,125.2074689
general,29.46058091
general,353.526971
general,88.38174274
general,184.1286307
general,22.09543568
general,162.033195
general,139.9377593
general,103.1120332
general,66.28630705
general,147.3029046
general,88.38174274
general,213.5892116
general,29.46058091
general,66.28630705
general,125.2074689
general,51.5560166
general,220.9543568
general,191.4937759
general,51.5560166
general,228.3195021
general,88.38174274
general,198.8589212
general,184.1286307
general,250.4149378
general,95.74688797
general,110.4771784
general,419.813278
general,95.74688797
general,14.73029046
general,88.38174274
general,139.9377593
general,110.4771784
general,213.5892116
general,66.28630705
general,257.780083
general,22.09543568
general,73.65145228
general,206.2240664
general,81.01659751
general,220.9543568
general,110.4771784
general,44.19087137
general,73.65145228
general,390.3526971
general,58.92116183
general,412.4481328
general,103.1120332
general,220.9543568
general,574.4813278
general,331.4315353
general,7.365145228
general,198.8589212
general,51.5560166
general,44.19087137
general,257.780083
general,22.09543568
general,110.4771784
general,66.28630705
general,103.1120332
general,0
general,73.65145228
general,220.9543568
general,66.28630705
general,110.4771784
general,360.8921162
general,95.74688797
general,213.5892116
general,574.4813278
general,51.5560166
general,88.38174274
general,139.9377593
general,154.6680498
general,51.5560166
general,198.8589212
general,22.09543568
general,449.2738589
general,73.65145228
general,390.3526971
general,250.4149378
general,397.7178423
general,360.8921162
general,44.19087137
general,405.0829876
general,81.01659751
general,36.82572614
general,162.033195
general,44.19087137
general,132.5726141
general,154.6680498
general,110.4771784
general,154.6680498
general,139.9377593
general,95.74688797
general,81.01659751
general,154.6680498
general,486.0995851
general,73.65145228
general,58.92116183
general,29.46058091
general,162.033195
general,294.6058091
general,449.2738589
general,162.033195
general,73.65145228
general,22.09543568
general,44.19087137
general,88.38174274
general,88.38174274
general,117.8423237
general,110.4771784
general,51.5560166
general,191.4937759
general,220.9543568
general,228.3195021
general,110.4771784
general,206.2240664
general,272.5103734
general,110.4771784
general,103.1120332
general,346.1618257
general,139.9377593
general,22.09543568
general,213.5892116
general,191.4937759
general,250.4149378
general,139.9377593
general,66.28630705
general,419.813278
general,125.2074689
general,95.74688797
general,1031.120332
general,22.09543568
general,309.3360996
general,176.7634855
general,147.3029046
general,66.28630705
general,162.033195
general,309.3360996
general,324.06639
general,117.8423237
general,51.5560166
general,154.6680498
general,132.5726141
general,228.3195021
general,110.4771784
general,51.5560166
general,29.46058091
general,95.74688797
general,88.38174274
general,117.8423237
general,154.6680498
general,162.033195
general,250.4149378
general,51.5560166
general,44.19087137
general,250.4149378
general,44.19087137
general,36.82572614
general,14.73029046
general,110.4771784
general,88.38174274
general,206.2240664
general,51.5560166
general,95.74688797
general,132.5726141
general,103.1120332
general,441.9087137
general,979.5643154
general,22.09543568
general,434.5435685
general,81.01659751
general,235.6846473
general,287.2406639
general,633.4024896
general,228.3195021
general,44.19087137
general,265.1452282
general,22.09543568
general,14.73029046
general,213.5892116
general,206.2240664
general,235.6846473
general,81.01659751
general,29.46058091
general,36.82572614
general,169.3983402
general,110.4771784
general,1959.128631
general,81.01659751
general,331.4315353
general,382.9875519
general,22.09543568
general,206.2240664
general,154.6680498
general,250.4149378
general,206.2240664
general,198.8589212
general,360.8921162
general,58.92116183
general,184.1286307
general,81.01659751
general,81.01659751
general,125.2074689
general,368.2572614
general,1112.136929
general,117.8423237
general,88.38174274
general,272.5103734
general,125.2074689
general,103.1120332
general,802.8008299
general,88.38174274
general,51.5560166
general,500.8298755
general,846.9917012
general,162.033195
general,110.4771784
general,324.06639
general,132.5726141
general,331.4315353
general,0
general,73.65145228
general,464.0041494
general,58.92116183
general,73.65145228
general,220.9543568
general,132.5726141
general,132.5726141
general,58.92116183
general,73.65145228
general,257.780083
general,95.74688797
general,36.82572614
general,184.1286307
general,147.3029046
general,73.65145228
general,51.5560166
general,272.5103734
general,110.4771784
general,147.3029046
general,324.06639
general,14.73029046
general,125.2074689
general,176.7634855
general,169.3983402
general,589.2116183
general,44.19087137
general,7.365145228
general,0
general,2076.970954
general,368.2572614
general,58.92116183
general,22.09543568
general,95.74688797
general,154.6680498
general,73.65145228
general,29.46058091
general,103.1120332
general,88.38174274
general,14.73029046
general,360.8921162
general,66.28630705
general,81.01659751
general,103.1120332
general,206.2240664
general,117.8423237
general,250.4149378
general,243.0497925
general,360.8921162
general,434.5435685
general,397.7178423
general,176.7634855
general,44.19087137
general,58.92116183
general,88.38174274
general,235.6846473
general,198.8589212
general,88.38174274
general,81.01659751
general,316.7012448
general,228.3195021
general,220.9543568
general,301.9709544
general,22.09543568
general,419.813278
general,103.1120332
general,58.92116183
general,265.1452282
general,73.65145228
general,331.4315353
general,147.3029046
general,684.9585062
general,58.92116183
general,58.92116183
general,147.3029046
general,7.365145228
general,117.8423237
general,110.4771784
general,51.5560166
general,375.6224066
general,103.1120332
general,419.813278
general,51.5560166
general,243.0497925
general,58.92116183
general,110.4771784
general,191.4937759
general,338.7966805
general,44.19087137
general,832.2614108
general,58.92116183
general,139.9377593
general,198.8589212
general,58.92116183
general,184.1286307
general,213.5892116
general,213.5892116
general,154.6680498
general,176.7634855
general,913.2780083
general,390.3526971
general,117.8423237
general,265.1452282
general,198.8589212
general,449.2738589
general,103.1120332
general,51.5560166
general,220.9543568
general,58.92116183
general,110.4771784
general,169.3983402
general,29.46058091
general,449.2738589
general,184.1286307
general,81.01659751
general,154.6680498
general,162.033195
general,139.9377593
general,110.4771784
general,184.1286307
general,206.2240664
general,162.033195
general,139.9377593
general,0
general,1443.568465
general,36.82572614
general,648.1327801
general,169.3983402
general,117.8423237
general,58.92116183
general,58.92116183
general,88.38174274
general,14.73029046
general,58.92116183
general,29.46058091
general,471.3692946
general,51.5560166
general,66.28630705
general,139.9377593
general,73.65145228
general,44.19087137
general,191.4937759
general,66.28630705
general,58.92116183
general,58.92116183
general,154.6680498
general,920.6431535
general,360.8921162
general,162.033195
general,220.9543568
general,103.1120332
general,36.82572614
general,198.8589212
general,0
general,36.82572614
general,176.7634855
general,213.5892116
general,103.1120332
general,360.8921162
general,44.19087137
general,51.5560166
general,14.73029046
QRP,162.033195
QRP,66.28630705
QRP,66.28630705
QRP,309.3360996
QRP,162.033195
QRP,243.0497925
QRP,95.74688797
QRP,110.4771784
QRP,139.9377593
QRP,117.8423237
QRP,184.1286307
QRP,191.4937759
QRP,1244.709544
QRP,22.09543568
QRP,44.19087137
QRP,235.6846473
QRP,176.7634855
QRP,198.8589212
QRP,132.5726141
QRP,147.3029046
QRP,235.6846473
QRP,618.6721992
QRP,265.1452282
QRP,14.73029046
QRP,81.01659751
QRP,110.4771784
QRP,81.01659751
QRP,235.6846473
QRP,184.1286307
QRP,51.5560166
QRP,508.1950207
QRP,162.033195
QRP,110.4771784
QRP,287.2406639
QRP,139.9377593
QRP,81.01659751
QRP,51.5560166
QRP,235.6846473
QRP,95.74688797
QRP,44.19087137
QRP,117.8423237
QRP,139.9377593
QRP,73.65145228
QRP,169.3983402
QRP,191.4937759
QRP,22.09543568
QRP,110.4771784
QRP,169.3983402
QRP,294.6058091
QRP,88.38174274
QRP,110.4771784
QRP,103.1120332
QRP,22.09543568
QRP,117.8423237
QRP,198.8589212
QRP,427.1784232